Date,Trimestre,Retorno
19/08/2015,20150701,-0.008254877
20/08/2015,20150701,-0.02110017
21/08/2015,20150701,-0.031850965
24/08/2015,20150701,-0.039413693
25/08/2015,20150701,-0.013521995
26/08/2015,20150701,0.039033859
27/08/2015,20150701,0.024297748
28/08/2015,20150701,0.000608736
31/08/2015,20150701,-0.00839167
1/09/2015,20150701,-0.029576447
2/09/2015,20150701,0.018292975
3/09/2015,20150701,0.001164794
4/09/2015,20150701,-0.015329596
8/09/2015,20150701,0.025083053
9/09/2015,20150701,-0.01389756
10/09/2015,20150701,0.005277955
11/09/2015,20150701,0.004487043
14/09/2015,20150701,-0.004089656
15/09/2015,20150701,0.012831312
16/09/2015,20150701,0.008705414
17/09/2015,20150701,-0.00256106
18/09/2015,20150701,-0.016164166
21/09/2015,20150701,0.004565784
22/09/2015,20150701,-0.01231843
23/09/2015,20150701,-0.002048643
24/09/2015,20150701,-0.003362985
25/09/2015,20150701,-0.000465793
28/09/2015,20150701,-0.02566609
29/09/2015,20150701,0.001232853
30/09/2015,20150701,0.019075556
1/10/2015,20151001,0.001973884
2/10/2015,20151001,0.014315289
5/10/2015,20151001,0.018289841
6/10/2015,20151001,-0.003588236
7/10/2015,20151001,0.008035634
8/10/2015,20151001,0.008818436
9/10/2015,20151001,0.000725111
12/10/2015,20151001,0.001275477
13/10/2015,20151001,-0.006825424
14/10/2015,20151001,-0.004716274
15/10/2015,20151001,0.014852774
16/10/2015,20151001,0.004570474
19/10/2015,20151001,0.000270546
20/10/2015,20151001,-0.00142109
21/10/2015,20151001,-0.005825415
22/10/2015,20151001,0.016627572
23/10/2015,20151001,0.011030344
26/10/2015,20151001,-0.0019131
27/10/2015,20151001,-0.002554119
28/10/2015,20151001,0.011840033
29/10/2015,20151001,-0.000449774
30/10/2015,20151001,-0.004809877
2/11/2015,20151001,0.011873817
3/11/2015,20151001,0.002728067
4/11/2015,20151001,-0.003545367
5/11/2015,20151001,-0.001132148
6/11/2015,20151001,-0.000347622
9/11/2015,20151001,-0.009822729
10/11/2015,20151001,0.001510595
11/11/2015,20151001,-0.003228086
12/11/2015,20151001,-0.013990375
13/11/2015,20151001,-0.011207365
16/11/2015,20151001,0.014903265
17/11/2015,20151001,-0.001339379
18/11/2015,20151001,0.016162452
19/11/2015,20151001,-0.001123109
20/11/2015,20151001,0.003810196
23/11/2015,20151001,-0.001234861
24/11/2015,20151001,0.001221996
25/11/2015,20151001,-0.000129133
27/11/2015,20151001,0.000593618
30/11/2015,20151001,-0.004640997
1/12/2015,20151001,0.010680574
2/12/2015,20151001,-0.010995693
3/12/2015,20151001,-0.014373527
4/12/2015,20151001,0.020525669
7/12/2015,20151001,-0.006989503
8/12/2015,20151001,-0.006489901
9/12/2015,20151001,-0.007738985
10/12/2015,20151001,0.002251387
11/12/2015,20151001,-0.019422767
14/12/2015,20151001,0.00475556
15/12/2015,20151001,0.010618561
16/12/2015,20151001,0.014514969
17/12/2015,20151001,-0.015040521
18/12/2015,20151001,-0.01779722
21/12/2015,20151001,0.007778402
22/12/2015,20151001,0.008816736
23/12/2015,20151001,0.012418068
24/12/2015,20151001,-0.001598636
28/12/2015,20151001,-0.00217856
29/12/2015,20151001,0.010629763
30/12/2015,20151001,-0.007217229
31/12/2015,20151001,-0.009411913
4/01/2016,20160101,-0.015303731
5/01/2016,20160101,0.002012226
6/01/2016,20160101,-0.013115397
7/01/2016,20160101,-0.023700443
8/01/2016,20160101,-0.010838375
11/01/2016,20160101,0.000853272
12/01/2016,20160101,0.007802799
13/01/2016,20160101,-0.024965453
14/01/2016,20160101,0.016695906
15/01/2016,20160101,-0.021599098
19/01/2016,20160101,0.000531822
20/01/2016,20160101,-0.011693855
21/01/2016,20160101,0.005195438
22/01/2016,20160101,0.020283701
25/01/2016,20160101,-0.015637982
26/01/2016,20160101,0.014144336
27/01/2016,20160101,-0.010863484
28/01/2016,20160101,0.005528577
29/01/2016,20160101,0.024760217
1/02/2016,20160101,-0.000443236
2/02/2016,20160101,-0.018743091
3/02/2016,20160101,0.004992039
4/02/2016,20160101,0.001526733
5/02/2016,20160101,-0.018481246
8/02/2016,20160101,-0.014153936
9/02/2016,20160101,-0.00066362
10/02/2016,20160101,-0.000188951
