Date,S&P Return
2013-10-28,0.001329699
2013-10-29,0.005584195
2013-10-30,-0.004875923
2013-10-31,-0.003839381
2013-11-01,0.002903421
2013-11-04,0.003570559
2013-11-05,-0.002805588
2013-11-06,0.00426554
2013-11-07,-0.013182772
2013-11-08,0.01342756
2013-11-11,0.000722932
2013-11-12,-0.002370392
2013-11-13,0.008095344
2013-11-14,0.004837259
2013-11-15,0.004222034
2013-11-18,-0.003698198
2013-11-19,-0.002042965
2013-11-20,-0.003635611
2013-11-21,0.008128565
2013-11-22,0.004961458
2013-11-25,-0.001263342
2013-11-26,0.000149805
2013-11-27,0.002485081
2013-11-29,-0.000785689
2013-12-02,-0.002719021
2013-12-03,-0.003192848
2013-12-04,-0.001303493
2013-12-05,-0.004339573
2013-12-06,0.011237871
2013-12-09,0.0018171
2013-12-10,-0.003179659
2013-12-11,-0.011316874
2013-12-12,-0.003770562
2013-12-13,-0.00010141
2013-12-16,0.00632004
2013-12-17,-0.003100988
2013-12-18,0.016647964
2013-12-19,-0.000579929
2013-12-20,0.004818728
2013-12-23,0.00531812
2013-12-24,0.002915747
2013-12-26,0.00474553
2013-12-27,-0.000336585
2013-12-30,-0.000179254
2013-12-31,0.003959675
2014-01-02,-0.008861913
2014-01-03,-0.000332965
2014-01-06,-0.002511767
2014-01-07,0.006081764
2014-01-08,-0.000212209
2014-01-09,0.000348309
2014-01-10,0.002306687
2014-01-13,-0.012576217
2014-01-14,0.010817972
2014-01-15,0.005166188
2014-01-16,-0.00134712
2014-01-17,-0.003895175
2014-01-21,0.002773752
2014-01-22,0.000574865
2014-01-23,-0.008889577
2014-01-24,-0.020875449
2014-01-27,-0.004876294
2014-01-28,0.006140652
2014-01-29,-0.010209232
2014-01-30,0.011267045
2014-01-31,-0.006465299
2014-02-03,-0.02283192
2014-02-04,0.007641089
2014-02-05,-0.002028222
2014-02-06,0.012439793
2014-02-07,0.013301887
2014-02-10,0.001569235
2014-02-11,0.011062114
2014-02-12,-0.000269262
2014-02-13,0.005810025
2014-02-14,0.004809217
2014-02-18,0.001158474
2014-02-19,-0.006524484
2014-02-20,0.006031458
2014-02-21,-0.001918723
2014-02-24,0.006186513
2014-02-25,-0.001347682
2014-02-26,2.17E-05
2014-02-27,0.004948083
2014-02-28,0.002782689
2014-03-03,-0.007378511
2014-03-04,0.015267701
2014-03-05,-5.34E-05
2014-03-06,0.001718408
2014-03-07,0.000538089
2014-03-10,-0.000463246
2014-03-11,-0.005082139
2014-03-12,0.000305171
2014-03-13,-0.011701095
2014-03-14,-0.002821778
2014-03-17,0.009613635
2014-03-18,0.007219619
2014-03-19,-0.006131649
2014-03-20,0.006040505
2014-03-21,-0.002932671
2014-03-24,-0.00486471
2014-03-25,0.00440394
2014-03-26,-0.007000319
2014-03-27,-0.001900084
2014-03-28,0.004640222
2014-03-31,0.007924102
2014-04-01,0.007039349
2014-04-02,0.002853326
2014-04-03,-0.00112645
2014-04-04,-0.012537288
2014-04-07,-0.010750113
2014-04-08,0.003750554
2014-04-09,0.010918213
2014-04-10,-0.020884796
2014-04-11,-0.009486774
2014-04-14,0.008217286
2014-04-15,0.006757308
2014-04-16,0.010488491
2014-04-17,0.001363853
2014-04-21,0.003775124
2014-04-22,0.004092139
2014-04-23,-0.002213314
2014-04-24,0.00171696
2014-04-25,-0.008096391
2014-04-28,0.003236036
2014-04-29,0.004760757
2014-04-30,0.002992017
2014-05-01,-0.000143261
2014-05-02,-0.001348445
2014-05-05,0.001871216
2014-05-06,-0.008988392
2014-05-07,0.005616468
2014-05-08,-0.001373625
2014-05-09,0.001519476
2014-05-12,0.009672738
2014-05-13,0.000421758
2014-05-14,-0.004701005
2014-05-15,-0.009361807
2014-05-16,0.003746965
2014-05-19,0.003844787
2014-05-20,-0.006498398
2014-05-21,0.008116099
2014-05-22,0.00236223
2014-05-23,0.004248392
2014-05-27,0.005987806
2014-05-28,-0.001114072
2014-05-29,0.00536711
2014-05-30,0.001843678
2014-06-02,0.000727826
2014-06-03,-0.000379217
2014-06-04,0.001891664
2014-06-05,0.00652528
2014-06-06,0.004627758
2014-06-09,0.000938772
2014-06-10,-0.000245984
2014-06-11,-0.003537041
2014-06-12,-0.007088894
2014-06-13,0.003134562
2014-06-16,0.000836705
2014-06-17,0.002172569
2014-06-18,0.007718881
2014-06-19,0.001277479
2014-06-20,0.001730059
2014-06-23,-0.000132464
2014-06-24,-0.006435311
2014-06-25,0.004897511
2014-06-26,-0.001178884
2014-06-27,0.001910869
2014-06-30,-0.000372257
2014-07-01,0.006677771
2014-07-02,0.000658813
2014-07-03,0.005479508
2014-07-07,-0.003923522
2014-07-08,-0.007048802
2014-07-09,0.004644268
2014-07-10,-0.004131072
2014-07-11,0.001470922
2014-07-14,0.004843553
2014-07-15,-0.001932096
2014-07-16,0.004201085
2014-07-17,-0.011834026
2014-07-18,0.010264936
2014-07-21,-0.002320251
2014-07-22,0.00501615
2014-07-23,0.001754438
2014-07-24,0.000488156
2014-07-25,-0.00484915
2014-07-28,0.000288155
2014-07-29,-0.004527787
2014-07-30,6.09E-05
2014-07-31,-0.01999924
2014-08-01,-0.002859121
2014-08-04,0.007189032
2014-08-05,-0.00968547
2014-08-06,1.56E-05
2014-08-07,-0.00555662
2014-08-08,0.011531403
2014-08-11,0.002759425
2014-08-12,-0.001636642
2014-08-13,0.00670716
2014-08-14,0.004345814
2014-08-15,-6.14E-05
2014-08-18,0.008531672
2014-08-19,0.005000652
2014-08-20,0.002477813
2014-08-21,0.002949889
2014-08-22,-0.001992587
2014-08-25,0.004787779
2014-08-26,0.001051081
2014-08-27,5.00E-05
2014-08-28,-0.001689901
2014-08-29,0.003320415
2014-09-02,-0.000544066
2014-09-03,-0.000779141
2014-09-04,-0.001534421
2014-09-05,0.005035886
2014-09-08,-0.003073114
2014-09-09,-0.006545009
2014-09-10,0.003646074
2014-09-11,0.000881906
2014-09-12,-0.005962558
2014-09-15,-0.000710151
2014-09-16,0.007484376
2014-09-17,0.001295644
2014-09-18,0.00489118
2014-09-19,-0.00047727
2014-09-22,-0.008013323
2014-09-23,-0.005776501
2014-09-24,0.007832491
2014-09-25,-0.016168773
2014-09-26,0.008575825
2014-09-29,-0.002546802
2014-09-30,-0.002785929
2014-10-01,-0.013248561
2014-10-02,5.14E-06
2014-10-03,0.011165509
2014-10-06,-0.00156516
2014-10-07,-0.015126053
2014-10-08,0.01746165
2014-10-09,-0.020661415
